b0dia	ba1dia	ba2dia	ba3dia	ba4dia	b1dia	b2dia	b3dia	b4dia	bb1dia	bb2dia	bb3dia	bb4dia
36.3363	-0.4513	-0.2328	28.8499	-129.8330	-0.0182	0.0007	0.0464	-0.2691	-0.0622	-0.2979	0.6276	-0.5522
30.6534	-1.0645	-0.5369	30.8360	-125.6900	0.1058	0.0021	0.0390	-0.2859	-0.0568	-0.8988	1.5116	-0.9035
46.6521	-0.8427	-0.8134	29.0051	-109.5240	-0.0091	0.0049	0.0484	-0.3790	-0.0684	-0.6066	1.0179	-0.5945
34.7995	-1.0943	-0.5132	24.8976	-93.9462	0.1143	0.0006	0.0856	-0.4757	-0.0300	-0.9349	1.4240	-0.6362
15.9095	-0.3518	-0.6484	19.5391	-72.0796	0.2253	-0.0045	0.1041	-0.5073	0.0070	-1.3455	2.0777	-0.9953
12.8878	-0.0974	-1.0427	20.0319	-66.1203	0.2379	-0.0020	0.0402	-0.2008	-0.0112	-0.4679	0.7618	-0.4226
3.2759	-0.1741	-0.7763	16.2511	-53.8662	0.3223	-0.0044	0.0485	-0.2089	-0.0061	-0.2448	0.4092	-0.2385
12.8460	-0.0649	-0.8792	16.2183	-50.6930	0.2474	-0.0022	0.0311	-0.1230	-0.0255	0.2390	-0.3265	0.1012
12.8668	0.1716	-1.0619	16.2814	-49.2028	0.2361	-0.0020	0.0293	-0.1263	-0.0322	0.5303	-0.7561	0.2762
9.1120	0.1408	-1.0811	16.1015	-48.0962	0.2737	-0.0032	0.0416	-0.1676	-0.0278	0.5837	-0.8523	0.3437
11.7225	-0.2667	-0.6740	14.1978	-45.5872	0.2840	-0.0034	0.0505	-0.2030	-0.0368	0.5673	-0.8255	0.3314
19.5753	-0.4609	-0.4453	12.7133	-41.9359	0.2384	-0.0020	0.0503	-0.2232	-0.0503	0.7475	-1.0987	0.4581
21.1297	-0.7489	-0.2784	12.1653	-40.6521	0.2491	-0.0015	0.0462	-0.2201	-0.0415	0.5736	-0.8537	0.3742
17.5087	-0.5589	-0.5804	13.6135	-42.3595	0.2699	-0.0017	0.0438	-0.2286	-0.0325	0.5451	-0.8138	0.3581
19.1250	-0.6931	-0.3580	11.3984	-35.5973	0.2679	-0.0009	0.0341	-0.1992	-0.0272	0.3386	-0.5034	0.2204
12.3312	-0.7307	-0.2314	9.1993	-27.9046	0.3246	-0.0020	0.0272	-0.1474	-0.0218	0.4218	-0.6267	0.2695
8.7933	-0.5755	-0.2574	8.5358	-26.1118	0.3473	-0.0031	0.0313	-0.1447	-0.0249	0.4514	-0.6549	0.2572
6.8234	-0.7262	-0.0687	7.7821	-26.4927	0.3781	-0.0044	0.0462	-0.2030	-0.0214	0.2612	-0.3714	0.1375
6.5708	-0.6226	-0.1738	8.0763	-26.5849	0.3759	-0.0041	0.0378	-0.1688	-0.0223	0.3339	-0.4750	0.1725
12.4952	-0.7810	0.0532	6.8239	-24.2698	0.3431	-0.0032	0.0368	-0.1732	-0.0262	0.1513	-0.1909	0.0331
16.8254	-0.4175	-0.2206	7.4894	-23.9702	0.2885	-0.0021	0.0295	-0.1608	-0.0154	-0.0241	0.0763	-0.0950
17.8811	-0.4367	-0.1266	7.0389	-24.1500	0.2868	-0.0028	0.0392	-0.1928	-0.0081	-0.2780	0.4577	-0.2641
16.5734	-0.2666	-0.2542	7.0108	-22.3832	0.2899	-0.0032	0.0387	-0.1806	-0.0041	-0.2653	0.4360	-0.2519
19.9011	-0.2317	-0.3427	7.6601	-23.4789	0.2636	-0.0020	0.0303	-0.1519	-0.0146	-0.0788	0.1620	-0.1394
21.7218	-0.2625	-0.2345	6.6903	-20.9185	0.2553	-0.0023	0.0347	-0.1547	-0.0230	0.0302	0.0052	-0.0801
21.9955	-0.4947	-0.0505	6.3827	-21.7936	0.2719	-0.0028	0.0392	-0.1593	-0.0334	0.1394	-0.1536	-0.0152
25.2014	-0.5716	0.0877	5.7268	-21.1119	0.2566	-0.0032	0.0512	-0.2028	-0.0358	0.0855	-0.0747	-0.0456
24.9355	-0.6578	0.2310	4.6551	-18.8514	0.2671	-0.0039	0.0592	-0.2224	-0.0268	-0.0489	0.1140	-0.1096
23.5259	-0.5069	0.1119	4.7744	-18.0734	0.2698	-0.0040	0.0557	-0.2087	-0.0263	0.0265	0.0098	-0.0803
22.6538	-0.3685	-0.0683	5.5225	-18.8175	0.2682	-0.0033	0.0439	-0.1629	-0.0299	0.2232	-0.2808	0.0390
25.1343	-0.4732	0.0854	3.9605	-13.9120	0.2571	-0.0028	0.0398	-0.1488	-0.0380	0.4146	-0.5644	0.1571
26.0776	-0.4748	0.0973	4.2405	-15.6978	0.2526	-0.0028	0.0409	-0.1485	-0.0398	0.4214	-0.5758	0.1652
27.7828	-0.4017	0.0700	4.2580	-15.4754	0.2367	-0.0027	0.0432	-0.1635	-0.0350	0.3149	-0.4222	0.1074
33.3210	-0.5491	0.2782	3.9722	-17.4641	0.2081	-0.0028	0.0559	-0.2079	-0.0453	0.3091	-0.4165	0.1140
