b0sys	ba1sys	ba2sys	ba3sys	ba4sys	b1sys	b2sys	b3sys	b4sys	bb1sys	bb2sys	bb3sys	bb4sys
-7.4855	-1.2252	1.2643	-6.8797	20.4744	0.7114	-0.0066	-0.0667	0.3564	-0.0012	0.5278	-0.6927	0.1388
8.4462	-0.9598	0.9046	-5.1098	15.1548	0.5919	-0.0029	-0.0650	0.2495	-0.0030	0.4421	-0.5724	0.0997
26.6223	-1.1479	1.2134	-8.4665	28.0408	0.4750	0.0001	-0.0643	0.2062	-0.0230	0.5561	-0.7467	0.1850
31.8947	-0.8670	1.1693	-8.2932	26.0849	0.4251	-0.0002	-0.0535	0.1718	-0.0080	0.3954	-0.5402	0.1473
30.9472	-1.1288	1.5926	-11.7371	34.5934	0.4578	-0.0019	-0.0341	0.1144	-0.0167	0.6897	-1.0025	0.3867
23.1520	-1.1368	1.7510	-13.8556	41.2104	0.5270	-0.0048	-0.0149	0.0623	0.0062	0.4347	-0.6509	0.2798
19.3036	-0.9230	1.6566	-14.2294	42.9522	0.5494	-0.0062	-0.0051	0.0555	0.0242	0.1295	-0.1986	0.0876
20.0191	-1.0378	1.6928	-13.6476	40.8615	0.5596	-0.0071	0.0146	-0.0300	0.0135	0.1632	-0.2423	0.1013
21.6515	-0.9745	1.5964	-13.0096	38.8309	0.5462	-0.0063	0.0087	-0.0183	0.0093	0.2644	-0.3848	0.1477
22.6952	-0.8665	1.4799	-11.8203	34.2277	0.5370	-0.0066	0.0176	-0.0648	0.0046	0.3226	-0.4689	0.1811
23.1615	-0.8132	1.4422	-11.8893	34.8542	0.5329	-0.0063	0.0130	-0.0367	0.0080	0.3400	-0.5072	0.2171
27.9000	-0.8288	1.4257	-11.5803	33.7393	0.4995	-0.0049	0.0013	0.0117	-0.0014	0.4954	-0.7333	0.3051
34.8678	-0.8010	1.4290	-11.2835	32.3656	0.4469	-0.0037	-0.0037	0.0274	-0.0004	0.3936	-0.5873	0.2510
37.7557	-0.9638	1.5603	-11.5450	31.5671	0.4392	-0.0035	0.0024	-0.0164	-0.0087	0.3950	-0.5750	0.2238
39.9509	-1.0185	1.6189	-11.6485	31.0090	0.4284	-0.0032	0.0051	-0.0452	-0.0101	0.3516	-0.5073	0.1906
40.8576	-0.9313	1.5386	-11.5031	31.8413	0.4180	-0.0029	0.0019	-0.0291	-0.0081	0.3507	-0.5094	0.1968
42.1455	-0.9104	1.5356	-11.4411	31.5567	0.4098	-0.0029	0.0038	-0.0368	-0.0060	0.2848	-0.4155	0.1642
44.0009	-1.0103	1.6565	-11.8711	31.8672	0.4038	-0.0026	0.0007	-0.0172	-0.0017	0.1877	-0.2802	0.1211
42.9483	-0.9479	1.6532	-12.4439	34.3937	0.4097	-0.0029	0.0023	-0.0231	-0.0003	0.1892	-0.2761	0.1077
43.4489	-0.9355	1.5751	-11.4463	30.9525	0.4076	-0.0027	0.0000	-0.0199	0.0013	0.1619	-0.2376	0.0949
42.0432	-0.9668	1.5892	-11.2769	29.6658	0.4235	-0.0030	0.0009	-0.0194	0.0051	0.1181	-0.1781	0.0784
43.3921	-0.9251	1.5125	-10.6690	27.8566	0.4122	-0.0025	-0.0008	-0.0269	-0.0003	0.1780	-0.2571	0.0962
43.1823	-0.9153	1.5502	-11.2058	29.7148	0.4154	-0.0028	0.0025	-0.0386	0.0053	0.0679	-0.0977	0.0352
43.5111	-0.8427	1.4724	-10.8634	29.5168	0.4107	-0.0027	0.0019	-0.0416	-0.0023	0.1644	-0.2282	0.0711
44.8115	-0.9195	1.5496	-10.7815	27.8384	0.4087	-0.0030	0.0120	-0.0908	-0.0063	0.1451	-0.1957	0.0530
45.1153	-0.8419	1.4685	-10.4821	27.7389	0.4040	-0.0030	0.0148	-0.1094	-0.0047	0.1524	-0.2131	0.0715
45.0184	-0.9109	1.4637	-9.8769	25.3956	0.4124	-0.0031	0.0163	-0.1196	-0.0095	0.2128	-0.3015	0.1084
46.8396	-0.9336	1.4913	-10.0409	25.5791	0.4004	-0.0025	0.0087	-0.0854	-0.0083	0.2070	-0.2945	0.1065
46.3627	-1.0691	1.6403	-10.8997	27.3749	0.4156	-0.0030	0.0128	-0.0892	-0.0060	0.1891	-0.2783	0.1168
46.0560	-1.0253	1.6174	-10.8914	27.6133	0.4169	-0.0032	0.0134	-0.0831	-0.0015	0.1168	-0.1751	0.0794
45.8707	-1.0687	1.6929	-11.5282	29.3823	0.4234	-0.0035	0.0189	-0.1052	-0.0020	0.0549	-0.0766	0.0279
46.2250	-1.0493	1.6305	-11.0002	28.2950	0.4212	-0.0032	0.0150	-0.0892	0.0010	0.0192	-0.0279	0.0140
49.7043	-1.1168	1.6687	-10.6909	26.5418	0.4005	-0.0027	0.0175	-0.1166	-0.0029	-0.0064	0.0124	-0.0056
52.5010	-1.2283	1.7174	-10.2880	24.6009	0.3900	-0.0025	0.0229	-0.1413	-0.0055	-0.0773	0.1151	-0.0428
52.6380	-1.2668	1.7982	-10.7251	24.8323	0.3930	-0.0027	0.0233	-0.1352	-0.0037	-0.1218	0.1797	-0.0678
52.9451	-1.2987	1.8214	-10.8739	25.4383	0.3952	-0.0028	0.0249	-0.1365	-0.0026	-0.1753	0.2588	-0.1002
51.6977	-1.2275	1.7723	-10.6355	24.5465	0.4024	-0.0032	0.0273	-0.1377	0.0023	-0.2334	0.3428	-0.1327
51.5803	-1.1856	1.7323	-10.5490	24.7169	0.4027	-0.0033	0.0290	-0.1504	0.0040	-0.2752	0.4081	-0.1658
52.5542	-1.1951	1.7357	-10.3953	23.5706	0.3978	-0.0032	0.0312	-0.1661	0.0005	-0.2249	0.3400	-0.1482
54.7146	-1.2604	1.8028	-10.7730	24.4075	0.3869	-0.0029	0.0332	-0.1862	-0.0020	-0.2181	0.3306	-0.1449
56.7350	-1.1990	1.8011	-11.3328	26.8609	0.3684	-0.0025	0.0319	-0.1874	0.0002	-0.2443	0.3686	-0.1611
57.7385	-1.2515	1.8588	-11.3519	25.8098	0.3657	-0.0024	0.0287	-0.1704	-0.0009	-0.2306	0.3502	-0.1567
