b0dia	ba1dia	ba2dia	ba3dia	ba4dia	b1dia	b2dia	b3dia	b4dia	bb1dia	bb2dia	bb3dia	bb4dia
-13.5670	-1.1325	-1.7078	28.8607	-81.1719	0.4118	0.0003	-0.0263	0.0507	-0.0087	-0.1202	0.2977	-0.2691
-43.7777	1.9512	-3.8763	28.8717	-57.6407	0.4741	-0.0029	-0.0496	0.1518	-0.0191	0.1992	-0.2879	0.0508
-35.5221	1.6542	-3.2001	22.4882	-41.2990	0.4425	-0.0025	-0.0428	0.1269	-0.0674	0.3133	-0.4650	0.1062
-25.9772	2.0924	-3.8188	24.4956	-38.8551	0.3556	0.0003	-0.0543	0.1499	-0.0796	0.4423	-0.7299	0.2906
-16.9931	2.2497	-3.7873	23.1323	-35.1791	0.2916	0.0006	-0.0481	0.1416	-0.0641	0.3962	-0.6572	0.2638
-19.6683	2.3137	-3.7117	22.8638	-35.7152	0.3203	-0.0015	-0.0388	0.1406	-0.0689	0.4499	-0.7699	0.3469
-33.2858	2.7679	-4.0941	22.3138	-27.6548	0.3986	-0.0021	-0.0592	0.2053	-0.0938	0.6243	-1.0803	0.5056
-42.5220	3.0229	-4.2155	22.1584	-27.6854	0.4632	-0.0051	-0.0392	0.1567	-0.0631	0.5120	-0.8671	0.3759
-34.2517	2.7721	-3.6109	17.4453	-15.4161	0.4233	-0.0055	-0.0269	0.1286	-0.0371	0.3660	-0.6077	0.2427
-42.4833	3.1554	-3.8233	16.9605	-12.0012	0.4660	-0.0072	-0.0191	0.1105	-0.0294	0.3572	-0.5855	0.2225
-54.4375	3.0764	-3.5785	15.2542	-9.8518	0.5690	-0.0112	-0.0014	0.0879	-0.0340	0.4004	-0.6627	0.2631
-38.5925	2.3768	-3.1326	15.4931	-14.1216	0.5015	-0.0094	0.0059	0.0528	-0.0475	0.3550	-0.5818	0.2245
-40.8119	2.5241	-3.3547	16.1453	-12.9930	0.5119	-0.0092	0.0039	0.0554	-0.0504	0.3968	-0.6637	0.2771
-46.3014	2.6717	-3.5156	16.4588	-11.9729	0.5495	-0.0106	0.0106	0.0468	-0.0493	0.4299	-0.7314	0.3246
-47.6314	2.9586	-3.7580	16.7192	-10.3567	0.5434	-0.0102	0.0067	0.0518	-0.0595	0.4837	-0.8241	0.3686
-41.6665	2.9392	-3.8754	17.5857	-10.8233	0.4983	-0.0073	-0.0149	0.0964	-0.0817	0.5737	-0.9870	0.4563
-45.7369	2.9396	-3.8633	17.2310	-10.5610	0.5321	-0.0080	-0.0146	0.1016	-0.0765	0.5824	-1.0084	0.4748
-51.9290	2.9378	-3.7832	15.9238	-7.0752	0.5860	-0.0101	-0.0013	0.0747	-0.0647	0.5498	-0.9515	0.4469
-45.8559	3.0516	-3.9216	17.0729	-10.1336	0.5356	-0.0086	-0.0063	0.0786	-0.0616	0.5196	-0.8956	0.4150
-39.5605	2.8551	-3.5847	14.9465	-5.3128	0.5025	-0.0082	-0.0030	0.0687	-0.0683	0.5134	-0.8848	0.4109
-33.7657	2.9223	-3.5330	14.1257	-2.6863	0.4575	-0.0075	-0.0012	0.0596	-0.0664	0.4876	-0.8388	0.3872
-32.2810	2.6018	-3.2278	12.8399	-0.8793	0.4720	-0.0081	0.0063	0.0419	-0.0620	0.4496	-0.7751	0.3605
-31.5797	2.3929	-2.9101	11.2038	1.5782	0.4845	-0.0091	0.0143	0.0265	-0.0586	0.4152	-0.7120	0.3258
-32.2816	2.6349	-3.0487	11.5875	0.5188	0.4779	-0.0097	0.0203	0.0104	-0.0440	0.3694	-0.6297	0.2818
-25.4400	2.7183	-3.2535	13.5284	-4.0414	0.4210	-0.0070	0.0038	0.0396	-0.0469	0.3676	-0.6261	0.2792
-22.8873	2.5652	-3.2543	13.6720	-3.1603	0.4141	-0.0056	-0.0066	0.0583	-0.0566	0.3787	-0.6382	0.2747
-20.7911	2.6849	-3.4699	14.9131	-5.2628	0.3921	-0.0042	-0.0150	0.0686	-0.0663	0.3974	-0.6642	0.2789
-18.5570	2.4292	-3.0989	12.2737	1.0228	0.3937	-0.0045	-0.0121	0.0655	-0.0730	0.4005	-0.6670	0.2770
-17.5306	2.5085	-3.1093	11.7413	3.3022	0.3838	-0.0047	-0.0090	0.0598	-0.0637	0.3744	-0.6243	0.2595
-14.3488	2.3673	-3.0068	11.4653	3.7471	0.3712	-0.0040	-0.0129	0.0679	-0.0681	0.3759	-0.6244	0.2561
-16.6395	2.3516	-2.9622	11.2382	3.1551	0.3924	-0.0047	-0.0114	0.0678	-0.0675	0.3777	-0.6258	0.2543
-10.6475	2.2971	-2.8656	10.1755	7.4446	0.3509	-0.0034	-0.0169	0.0752	-0.0763	0.3958	-0.6548	0.2643
-10.0847	2.4662	-2.9361	10.2311	6.9534	0.3368	-0.0033	-0.0182	0.0800	-0.0730	0.3922	-0.6484	0.2607
-9.6460	2.4037	-2.8587	10.1710	5.6614	0.3398	-0.0036	-0.0141	0.0709	-0.0667	0.3688	-0.6116	0.2487
-5.5000	2.2058	-2.7946	11.4006	-0.0691	0.3246	-0.0030	-0.0129	0.0635	-0.0713	0.3492	-0.5757	0.2310
-3.1184	2.0845	-2.7566	11.9122	-2.7527	0.3161	-0.0025	-0.0137	0.0596	-0.0779	0.3470	-0.5661	0.2186
-1.8889	1.9380	-2.5612	10.5284	0.4557	0.3178	-0.0027	-0.0100	0.0505	-0.0868	0.3703	-0.6072	0.2401
1.3652	1.8159	-2.5509	11.3987	-2.5982	0.3031	-0.0020	-0.0117	0.0496	-0.0950	0.3856	-0.6354	0.2568
4.1129	1.8155	-2.5332	11.0415	-0.7368	0.2849	-0.0018	-0.0081	0.0380	-0.0883	0.3640	-0.6035	0.2493
1.4862	1.9999	-2.7504	12.2222	-3.4789	0.2950	-0.0018	-0.0113	0.0461	-0.0881	0.3736	-0.6168	0.2503
-2.4740	2.0859	-2.8319	12.5224	-3.8212	0.3229	-0.0028	-0.0094	0.0487	-0.0860	0.3920	-0.6551	0.2772
-0.4150	1.9078	-2.6838	12.7489	-6.8520	0.3217	-0.0029	-0.0082	0.0472	-0.0801	0.3635	-0.6077	0.2576
-0.0497	1.8113	-2.6253	12.8018	-7.7129	0.3277	-0.0029	-0.0071	0.0414	-0.0794	0.3497	-0.5807	0.2402
-1.5833	1.7827	-2.6894	13.4925	-9.1732	0.3439	-0.0030	-0.0061	0.0371	-0.0845	0.3665	-0.6098	0.2548
1.2090	1.7298	-2.6076	12.8518	-6.9268	0.3277	-0.0027	-0.0052	0.0323	-0.0870	0.3703	-0.6203	0.2656
1.2834	1.6318	-2.5106	12.1368	-4.9164	0.3350	-0.0025	-0.0086	0.0415	-0.0924	0.3860	-0.6467	0.2773
-0.4438	1.6936	-2.4801	11.7414	-4.8147	0.3463	-0.0031	-0.0075	0.0435	-0.0895	0.3834	-0.6422	0.2749
-0.2325	1.6130	-2.4272	12.1673	-8.1046	0.3529	-0.0033	-0.0065	0.0434	-0.0851	0.3606	-0.6019	0.2545
-2.1989	1.6982	-2.4926	12.7697	-10.7769	0.3643	-0.0037	-0.0061	0.0459	-0.0859	0.3821	-0.6441	0.2821
-0.8411	1.6919	-2.4301	12.0592	-8.6670	0.3572	-0.0040	-0.0005	0.0305	-0.0865	0.3748	-0.6317	0.2776
0.1678	1.6387	-2.3829	11.4230	-6.0839	0.3552	-0.0038	-0.0004	0.0275	-0.0933	0.3894	-0.6552	0.2867
0.8079	1.7778	-2.4652	11.0582	-4.0097	0.3404	-0.0029	-0.0096	0.0477	-0.0928	0.4036	-0.6792	0.2963
-1.1219	1.8103	-2.4361	10.7708	-4.1791	0.3561	-0.0036	-0.0078	0.0484	-0.0819	0.3736	-0.6278	0.2717
-4.8133	1.8058	-2.3310	9.8828	-2.9487	0.3871	-0.0049	-0.0019	0.0409	-0.0736	0.3513	-0.5879	0.2503
-8.1979	2.0298	-2.4940	10.6089	-5.3076	0.4011	-0.0058	0.0028	0.0321	-0.0692	0.3504	-0.5851	0.2470
-6.7520	2.0613	-2.4814	10.1310	-3.6573	0.3884	-0.0055	0.0002	0.0371	-0.0753	0.3769	-0.6294	0.2655
-3.5660	1.8329	-2.2802	9.0883	-0.4962	0.3807	-0.0050	-0.0007	0.0371	-0.0810	0.3819	-0.6401	0.2738
1.0387	1.7975	-2.2844	9.2486	-0.6268	0.3494	-0.0037	-0.0064	0.0437	-0.0821	0.3621	-0.6004	0.2472
1.6962	1.5592	-2.1909	9.9497	-4.5187	0.3625	-0.0033	-0.0098	0.0505	-0.0904	0.3640	-0.5976	0.2383
1.7174	1.6924	-2.3499	11.1189	-8.0750	0.3556	-0.0029	-0.0144	0.0602	-0.0871	0.3514	-0.5716	0.2195
-1.1808	1.8960	-2.4788	11.4555	-8.5302	0.3668	-0.0036	-0.0124	0.0586	-0.0775	0.3326	-0.5377	0.2006
-1.9286	1.8974	-2.4107	10.6569	-6.2357	0.3747	-0.0042	-0.0079	0.0509	-0.0731	0.3224	-0.5217	0.1951
-0.6762	1.6316	-2.0498	8.2301	-0.4293	0.3859	-0.0052	0.0017	0.0314	-0.0748	0.3067	-0.4907	0.1753
0.0177	1.3931	-1.7224	6.2104	3.6700	0.3980	-0.0060	0.0074	0.0231	-0.0781	0.3064	-0.4907	0.1763
1.8242	1.4415	-1.8531	7.4867	0.3209	0.3810	-0.0045	-0.0055	0.0517	-0.0808	0.3148	-0.5040	0.1810
3.3864	1.5296	-1.8957	8.1805	-2.7140	0.3667	-0.0046	-0.0044	0.0516	-0.0669	0.2582	-0.4028	0.1272
1.4518	1.5557	-2.0588	9.8910	-7.5275	0.3836	-0.0047	-0.0045	0.0515	-0.0676	0.2556	-0.3964	0.1218
-0.2228	1.7851	-2.3148	11.3445	-10.9345	0.3835	-0.0048	-0.0063	0.0572	-0.0663	0.2738	-0.4312	0.1425
-1.2686	1.8480	-2.3626	11.0795	-8.9995	0.3885	-0.0049	-0.0053	0.0531	-0.0765	0.3143	-0.5003	0.1745
-1.1771	1.9498	-2.3300	9.7844	-3.6954	0.3820	-0.0052	-0.0022	0.0473	-0.0778	0.3354	-0.5421	0.2020
-1.5905	1.9246	-2.2012	8.7588	-1.7051	0.3900	-0.0063	0.0071	0.0279	-0.0723	0.3150	-0.5067	0.1847
1.3907	1.7403	-1.9434	6.9646	2.6064	0.3789	-0.0060	0.0072	0.0262	-0.0787	0.3279	-0.5282	0.1939
5.7059	1.7240	-1.9265	7.7741	-2.0610	0.3493	-0.0054	0.0068	0.0244	-0.0694	0.2820	-0.4467	0.1515
12.6597	1.3459	-1.7148	8.8370	-8.9553	0.3265	-0.0048	0.0144	-0.0045	-0.0650	0.1958	-0.2892	0.0669
14.3993	1.3957	-1.9442	11.1527	-15.7051	0.3118	-0.0037	0.0089	-0.0004	-0.0745	0.2201	-0.3286	0.0822
17.6818	1.3880	-1.9866	11.7883	-17.7697	0.2899	-0.0031	0.0095	-0.0089	-0.0708	0.1938	-0.2807	0.0560
11.9170	1.6817	-2.3045	13.3873	-21.1645	0.3206	-0.0046	0.0186	-0.0278	-0.0691	0.2114	-0.3145	0.0776
9.2777	1.6967	-2.2055	11.4045	-13.2029	0.3418	-0.0056	0.0253	-0.0412	-0.0758	0.2487	-0.3832	0.1165
5.8584	1.6874	-2.0515	9.5688	-8.1664	0.3719	-0.0073	0.0382	-0.0675	-0.0715	0.2508	-0.3923	0.1289
9.3245	1.5374	-1.8954	9.7989	-11.7858	0.3581	-0.0073	0.0413	-0.0754	-0.0630	0.2057	-0.3147	0.0928
16.2286	1.2597	-1.7964	11.1013	-18.2966	0.3267	-0.0058	0.0385	-0.0835	-0.0656	0.1577	-0.2201	0.0326
15.2268	1.0841	-1.7857	12.1680	-22.5467	0.3504	-0.0059	0.0373	-0.0777	-0.0718	0.1751	-0.2530	0.0528
10.4724	1.4733	-2.2295	13.8392	-23.1801	0.3634	-0.0056	0.0276	-0.0497	-0.0848	0.2636	-0.4153	0.1436
5.2365	1.5165	-2.1802	12.4214	-17.9441	0.4039	-0.0071	0.0317	-0.0486	-0.0919	0.3179	-0.5147	0.1988
10.1259	1.4465	-1.9666	11.6878	-19.1724	0.3722	-0.0063	0.0273	-0.0379	-0.0743	0.2451	-0.3873	0.1349
8.7996	1.6042	-2.2123	13.8638	-26.1613	0.3767	-0.0060	0.0209	-0.0216	-0.0624	0.2044	-0.3117	0.0907
7.3808	1.9753	-2.5467	14.6551	-24.7762	0.3660	-0.0058	0.0184	-0.0173	-0.0685	0.2633	-0.4213	0.1535
