b0sys	ba1sys	ba2sys	ba3sys	ba4sys	b1sys	b2sys	b3sys	b4sys	bb1sys	bb2sys	bb3sys	bb4sys
-15.1614	0.1585	0.7927	-16.2445	64.9588	0.7016	-0.0159	0.0803	-0.1501	0.0109	0.1002	-0.1603	0.0565
7.1181	0.1808	0.1658	-8.1838	41.4072	0.5512	-0.0095	0.0540	-0.1228	0.0057	0.0042	0.0299	-0.0661
16.6833	-0.0164	0.2766	-6.0204	29.5897	0.5000	-0.0072	0.0370	-0.0808	-0.0092	0.0673	-0.0993	0.0246
4.2312	0.3344	0.0389	-4.8857	26.2991	0.5830	-0.0104	0.0473	-0.0885	0.0009	0.0958	-0.1550	0.0586
7.5365	-0.0042	0.4065	-5.8405	25.1459	0.5865	-0.0109	0.0523	-0.0938	0.0010	0.0934	-0.1598	0.0738
9.1488	-0.3319	0.8441	-9.4288	35.3411	0.6019	-0.0121	0.0661	-0.1243	-0.0028	0.1050	-0.1870	0.0975
8.9420	-0.0756	0.7374	-10.0163	38.7888	0.5921	-0.0126	0.0712	-0.1373	0.0130	0.0760	-0.1417	0.0814
7.6195	0.0671	0.6085	-8.8982	34.0775	0.5961	-0.0127	0.0706	-0.1365	0.0147	0.0961	-0.1812	0.1062
4.7191	0.0248	0.8039	-10.5118	37.6146	0.6241	-0.0140	0.0740	-0.1321	0.0285	0.0747	-0.1503	0.0994
-3.7807	0.2569	0.5926	-10.5763	40.4022	0.6754	-0.0144	0.0649	-0.1065	0.0265	0.1273	-0.2395	0.1377
-4.3588	0.5128	0.4441	-11.0057	43.9366	0.6643	-0.0141	0.0598	-0.0914	0.0297	0.1526	-0.2899	0.1703
0.9793	0.2770	0.5168	-10.2491	40.6962	0.6426	-0.0127	0.0539	-0.0858	0.0133	0.1639	-0.2987	0.1604
4.1744	0.2919	0.5211	-10.2719	41.0334	0.6197	-0.0121	0.0528	-0.0869	0.0122	0.1661	-0.3033	0.1633
6.8468	0.1938	0.5369	-9.8873	39.8590	0.6088	-0.0115	0.0517	-0.0889	0.0046	0.1768	-0.3210	0.1715
11.1461	0.2378	0.3678	-8.1510	35.8557	0.5761	-0.0100	0.0440	-0.0795	-0.0007	0.1778	-0.3210	0.1698
12.4221	0.2760	0.2488	-6.8316	31.9031	0.5662	-0.0092	0.0391	-0.0730	-0.0089	0.2003	-0.3583	0.1859
10.6386	0.5028	0.0451	-6.0581	30.8189	0.5675	-0.0093	0.0395	-0.0789	-0.0048	0.1885	-0.3309	0.1625
11.8950	0.4259	0.0403	-5.1913	27.4155	0.5654	-0.0088	0.0351	-0.0686	-0.0151	0.2160	-0.3783	0.1854
