Age in Months	Height (CDC)		
	L	M	S
0	-1.2960	49.2864	0.0501
0.5	-0.8092	51.6836	0.0468
1.5	-0.0508	55.2861	0.0434
2.5	0.4769	58.0938	0.0417
3.5	0.8433	60.4598	0.0407
4.5	1.0976	62.5367	0.0401
5.5	1.2725	64.4063	0.0397
6.5	1.3904	66.1184	0.0394
7.5	1.4667	67.7057	0.0393
8.5	1.5123	69.1912	0.0392
9.5	1.5350	70.5916	0.0392
10.5	1.5404	71.9196	0.0392
11.5	1.5329	73.1850	0.0393
12.5	1.5155	74.3956	0.0394
13.5	1.4908	75.5579	0.0395
14.5	1.4605	76.6769	0.0396
15.5	1.4260	77.7570	0.0397
16.5	1.3885	78.8020	0.0398
17.5	1.3488	79.8149	0.0399
18.5	1.3076	80.7985	0.0400
19.5	1.2654	81.7551	0.0402
20.5	1.2226	82.6868	0.0403
21.5	1.1796	83.5953	0.0404
22.5	1.1366	84.4823	0.0406
23.5	1.0937	85.3492	0.0407
24.5	1.0513	85.3973	0.0409
25.5	1.0420	86.2903	0.0411
26.5	1.0126	87.1571	0.0413
27.5	0.9705	87.9960	0.0415
28.5	0.9211	88.8055	0.0416
29.5	0.8682	89.5848	0.0417
30.5	0.8145	90.3334	0.0418
31.5	0.7620	91.0515	0.0418
32.5	0.7117	91.7396	0.0418
33.5	0.6643	92.3985	0.0419
34.5	0.6203	93.0295	0.0419
35.5	0.5796	93.6338	0.0420
36.5	0.5420	94.2134	0.0420
37.5	0.5114	94.7964	0.0421
38.5	0.4828	95.3739	0.0422
39.5	0.4555	95.9469	0.0423
40.5	0.4292	96.5164	0.0424
41.5	0.4034	97.0834	0.0425
42.5	0.3779	97.6485	0.0426
43.5	0.3526	98.2125	0.0427
44.5	0.3273	98.7759	0.0428
45.5	0.3020	99.3394	0.0429
46.5	0.2766	99.9033	0.0431
47.5	0.2512	100.4681	0.0432
48.5	0.2257	101.0339	0.0433
49.5	0.2003	101.6012	0.0434
50.5	0.1749	102.1700	0.0435
51.5	0.1497	102.7406	0.0436
52.5	0.1247	103.3130	0.0436
53.5	0.1000	103.8873	0.0437
54.5	0.0757	104.4635	0.0438
55.5	0.0518	105.0415	0.0439
56.5	0.0285	105.6213	0.0440
57.5	0.0059	106.2029	0.0441
58.5	-0.0161	106.7861	0.0441
59.5	-0.0374	107.3707	0.0442
60.5	-0.0577	107.9566	0.0443
61.5	-0.0772	108.5436	0.0443
62.5	-0.0957	109.1316	0.0444
63.5	-0.1132	109.7202	0.0445
64.5	-0.1297	110.3092	0.0445
65.5	-0.1450	110.8984	0.0446
66.5	-0.1592	111.4876	0.0447
67.5	-0.1722	112.0764	0.0447
68.5	-0.1840	112.6646	0.0448
69.5	-0.1947	113.2519	0.0448
70.5	-0.2040	113.8380	0.0449
71.5	-0.2122	114.4226	0.0449
72.5	-0.2191	115.0055	0.0450
73.5	-0.2247	115.5863	0.0450
74.5	-0.2291	116.1648	0.0451
75.5	-0.2323	116.7406	0.0451
76.5	-0.2343	117.3136	0.0451
77.5	-0.2351	117.8833	0.0452
78.5	-0.2348	118.4496	0.0452
79.5	-0.2333	119.0123	0.0453
80.5	-0.2307	119.5710	0.0453
81.5	-0.2271	120.1254	0.0453
82.5	-0.2224	120.6755	0.0454
83.5	-0.2168	121.2210	0.0454
84.5	-0.2102	121.7617	0.0455
85.5	-0.2028	122.2974	0.0455
86.5	-0.1945	122.8279	0.0455
87.5	-0.1855	123.3531	0.0456
88.5	-0.1757	123.8728	0.0456
89.5	-0.1653	124.3870	0.0457
90.5	-0.1544	124.8956	0.0457
91.5	-0.1428	125.3985	0.0457
92.5	-0.1308	125.8956	0.0458
93.5	-0.1184	126.3869	0.0458
94.5	-0.1056	126.8724	0.0459
95.5	-0.0926	127.3522	0.0459
96.5	-0.0793	127.8263	0.0460
97.5	-0.0658	128.2947	0.0460
98.5	-0.0522	128.7576	0.0461
99.5	-0.0385	129.2152	0.0461
100.5	-0.0247	129.6675	0.0462
101.5	-0.0110	130.1148	0.0463
102.5	0.0027	130.5574	0.0463
103.5	0.0164	130.9954	0.0464
104.5	0.0301	131.4293	0.0465
105.5	0.0436	131.8593	0.0466
106.5	0.0571	132.2859	0.0467
107.5	0.0706	132.7094	0.0468
108.5	0.0841	133.1304	0.0469
109.5	0.0977	133.5493	0.0470
110.5	0.1115	133.9667	0.0471
111.5	0.1254	134.3832	0.0472
112.5	0.1397	134.7995	0.0474
113.5	0.1544	135.2163	0.0475
114.5	0.1698	135.6342	0.0477
115.5	0.1859	136.0540	0.0478
116.5	0.2030	136.4766	0.0480
117.5	0.2212	136.9027	0.0482
118.5	0.2408	137.3333	0.0483
119.5	0.2619	137.7691	0.0485
120.5	0.2847	138.2112	0.0487
121.5	0.3096	138.6602	0.0489
122.5	0.3366	139.1172	0.0491
123.5	0.3659	139.5829	0.0493
124.5	0.3977	140.0581	0.0495
125.5	0.4321	140.5435	0.0496
126.5	0.4692	141.0397	0.0498
127.5	0.5089	141.5472	0.0500
128.5	0.5514	142.0664	0.0501
129.5	0.5963	142.5974	0.0503
130.5	0.6436	143.1404	0.0504
