Intercept y y2s y3s y4s x x2s x3s x4s w w2s w3s w4s quantile type sex
36.3363 -0.4513 -0.2328 28.8499 -129.833 -0.0182 0.0007 0.0464 -0.2691 -0.0622 -0.2979 0.6276 -0.5522 0.01 dia F
30.6534 -1.0645 -0.5369 30.8360 -125.690 0.1058 0.0021 0.0390 -0.2859 -0.0568 -0.8988 1.5116 -0.9035 0.02 dia F
46.6521 -0.8427 -0.8134 29.0051 -109.524 -0.0091 0.0049 0.0484 -0.3790 -0.0684 -0.6066 1.0179 -0.5945 0.03 dia F
34.7995 -1.0943 -0.5132 24.8976 -93.9462 0.1143 0.0006 0.0856 -0.4757 -0.0300 -0.9349 1.4240 -0.6362 0.04 dia F
15.9095 -0.3518 -0.6484 19.5391 -72.0796 0.2253 -0.0045 0.1041 -0.5073 0.0070 -1.3455 2.0777 -0.9953 0.05 dia F
12.8878 -0.0974 -1.0427 20.0319 -66.1203 0.2379 -0.0020 0.0402 -0.2008 -0.0112 -0.4679 0.7618 -0.4226 0.06 dia F
3.2759 -0.1741 -0.7763 16.2511 -53.8662 0.3223 -0.0044 0.0485 -0.2089 -0.0061 -0.2448 0.4092 -0.2385 0.07 dia F
12.8460 -0.0649 -0.8792 16.2183 -50.6930 0.2474 -0.0022 0.0311 -0.1230 -0.0255 0.2390 -0.3265 0.1012 0.08 dia F
12.8668 0.1716 -1.0619 16.2814 -49.2028 0.2361 -0.0020 0.0293 -0.1263 -0.0322 0.5303 -0.7561 0.2762 0.09 dia F
9.1120 0.1408 -1.0811 16.1015 -48.0962 0.2737 -0.0032 0.0416 -0.1676 -0.0278 0.5837 -0.8523 0.3437 0.1 dia F
11.7225 -0.2667 -0.6740 14.1978 -45.5872 0.2840 -0.0034 0.0505 -0.2030 -0.0368 0.5673 -0.8255 0.3314 0.11 dia F
19.5753 -0.4609 -0.4453 12.7133 -41.9359 0.2384 -0.0020 0.0503 -0.2232 -0.0503 0.7475 -1.0987 0.4581 0.12 dia F
21.1297 -0.7489 -0.2784 12.1653 -40.6521 0.2491 -0.0015 0.0462 -0.2201 -0.0415 0.5736 -0.8537 0.3742 0.13 dia F
17.5087 -0.5589 -0.5804 13.6135 -42.3595 0.2699 -0.0017 0.0438 -0.2286 -0.0325 0.5451 -0.8138 0.3581 0.14 dia F
19.1250 -0.6931 -0.3580 11.3984 -35.5973 0.2679 -0.0009 0.0341 -0.1992 -0.0272 0.3386 -0.5034 0.2204 0.15 dia F
12.3312 -0.7307 -0.2314 9.1993 -27.9046 0.3246 -0.0020 0.0272 -0.1474 -0.0218 0.4218 -0.6267 0.2695 0.16 dia F
8.7933 -0.5755 -0.2574 8.5358 -26.1118 0.3473 -0.0031 0.0313 -0.1447 -0.0249 0.4514 -0.6549 0.2572 0.17 dia F
