age(y),n,sbp_24h_L,sbp_24h_M,sbp_24h_S,sbp_day_L,sbp_day_M,sbp_day_S,sbp_night_L,sbp_night_M,sbp_night_S,dbp_24h_L,dbp_24h_M,dbp_24h_S,dbp_day_L,dbp_day_M,dbp_day_S,dbp_night_L,dbp_night_M,dbp_night_S,map_24h_L,map_24h_M,map_24h_S,map_day_L,map_day_M,map_day_S,map_night_L,map_night_M,map_night_S
5,14,1.362,102.8,0.073,2.507,108.4,0.077,0.144,94.8,0.082,0.646,65.5,0.078,1.67,72.6,0.085,0.122,56.4,0.12,0.487,77.2,0.07,1.277,83.7,0.08,0.507,68.7,0.09
5.5,15,1.174,103.4,0.073,2.274,109,0.075,0.052,95.2,0.082,0.773,65.5,0.078,1.717,72.6,0.085,0.12,56.2,0.12,0.675,77.5,0.07,1.371,83.8,0.079,0.528,68.8,0.09
6,15,0.987,104.1,0.072,2.041,109.5,0.074,-0.04,95.6,0.083,0.9,65.6,0.078,1.765,72.6,0.085,0.119,55.9,0.119,0.864,77.8,0.07,1.465,83.9,0.079,0.549,68.8,0.091
6.5,17,0.811,104.7,0.071,1.819,110.1,0.073,-0.123,95.9,0.083,1.025,65.7,0.078,1.813,72.5,0.085,0.123,55.7,0.119,1.051,78,0.07,1.56,84,0.078,0.579,68.8,0.092
7,17,0.648,105.3,0.07,1.61,110.6,0.073,-0.194,96.2,0.083,1.148,65.8,0.078,1.861,72.4,0.085,0.129,55.5,0.119,1.239,78.2,0.071,1.656,84,0.078,0.617,68.8,0.092
7.5,13,0.503,105.9,0.069,1.417,111.1,0.072,-0.25,96.5,0.084,1.269,65.8,0.079,1.911,72.3,0.086,0.137,55.3,0.12,1.427,78.4,0.071,1.755,84.1,0.077,0.662,68.8,0.093
8,12,0.378,106.5,0.069,1.244,111.5,0.071,-0.286,96.8,0.084,1.388,65.9,0.079,1.962,72.2,0.086,0.142,55.1,0.12,1.618,78.6,0.071,1.857,84.1,0.077,0.711,68.8,0.094
8.5,12,0.278,107,0.068,1.096,111.9,0.07,-0.298,97.2,0.084,1.503,65.9,0.08,2.015,72.1,0.086,0.143,54.9,0.12,1.811,78.8,0.071,1.961,84.1,0.077,0.765,68.9,0.095
9,12,0.199,107.6,0.067,0.969,112.4,0.07,-0.289,97.5,0.084,1.611,66,0.08,2.066,72,0.086,0.141,54.8,0.121,2.001,79,0.071,2.066,84.2,0.076,0.824,68.9,0.095
9.5,22,0.154,108.2,0.066,0.874,112.8,0.069,-0.253,97.9,0.084,1.701,66.1,0.081,2.109,71.9,0.087,0.135,54.7,0.121,2.181,79.2,0.071,2.171,84.3,0.076,0.893,69,0.096
10,20,0.134,108.7,0.066,0.805,113.3,0.069,-0.197,98.2,0.084,1.775,66.2,0.082,2.146,71.8,0.087,0.125,54.6,0.121,2.352,79.4,0.071,2.274,84.4,0.076,0.97,69.1,0.096
10.5,37,0.151,109.2,0.066,0.775,113.7,0.068,-0.116,98.6,0.084,1.819,66.3,0.083,2.175,71.8,0.087,0.112,54.5,0.121,2.506,79.6,0.072,2.375,84.5,0.076,1.059,69.2,0.097
11,31,0.201,109.7,0.065,0.78,114.2,0.068,-0.015,99,0.083,1.832,66.4,0.084,2.195,71.8,0.087,0.096,54.3,0.121,2.64,79.9,0.072,2.474,84.7,0.076,1.16,69.3,0.097
11.5,35,0.28,110.2,0.065,0.819,114.7,0.068,0.106,99.3,0.082,1.811,66.5,0.085,2.207,71.9,0.088,0.074,54.2,0.12,2.749,80.2,0.073,2.57,84.9,0.076,1.274,69.4,0.097
12,31,0.378,110.7,0.065,0.878,115.3,0.068,0.241,99.7,0.081,1.757,66.6,0.086,2.21,72.1,0.087,0.043,54.2,0.119,2.836,80.5,0.073,2.663,85.2,0.076,1.399,69.6,0.097
12.5,37,0.485,111.3,0.065,0.945,115.8,0.068,0.389,100.1,0.079,1.675,66.8,0.086,2.203,72.2,0.087,0.001,54.2,0.117,2.902,80.9,0.074,2.753,85.5,0.076,1.534,69.8,0.096
13,27,0.599,111.8,0.064,1.02,116.4,0.067,0.549,100.5,0.078,1.571,67,0.086,2.192,72.4,0.087,-0.051,54.3,0.115,2.957,81.2,0.074,2.843,85.9,0.077,1.676,70.1,0.095
13.5,30,0.722,112.3,0.064,1.107,117,0.066,0.72,100.9,0.076,1.453,67.1,0.086,2.179,72.6,0.085,-0.11,54.4,0.112,3.008,81.5,0.074,2.933,86.2,0.076,1.825,70.3,0.094
14,20,0.854,112.8,0.063,1.207,117.5,0.065,0.898,101.3,0.074,1.328,67.2,0.085,2.169,72.8,0.084,-0.174,54.5,0.109,3.061,81.9,0.074,3.026,86.5,0.076,1.977,70.6,0.093
14.5,24,0.991,113.3,0.062,1.319,118.1,0.063,1.083,101.6,0.072,1.202,67.4,0.084,2.162,73,0.082,-0.243,54.7,0.106,3.121,82.2,0.073,3.122,86.8,0.076,2.132,70.9,0.092
15,16,1.129,113.8,0.061,1.435,118.6,0.062,1.269,102,0.069,1.075,67.5,0.082,2.158,73.2,0.08,-0.316,54.9,0.102,3.183,82.4,0.073,3.219,87.1,0.076,2.287,71.2,0.09
15.5,12,1.265,114.3,0.059,1.552,119.1,0.061,1.454,102.5,0.067,0.946,67.6,0.081,2.153,73.3,0.078,-0.391,55.1,0.099,3.243,82.7,0.072,3.317,87.4,0.075,2.44,71.5,0.089
16,16,1.4,114.8,0.058,1.668,119.6,0.059,1.639,102.9,0.065,0.816,67.7,0.08,2.148,73.5,0.076,-0.467,55.3,0.096,3.302,83,0.072,3.415,87.7,0.075,2.593,71.8,0.088
