"q2" "Freq"
"1" "LISINOPRIL" 790
"2" "ENALAPRIL" 603
"3" "AMLODIPINE" 214
"4" "NORVASC" 133
"5" "COZAAR" 128
"6" "LOSARTAN" 98
"7" "VASOTEC" 71
"8" "ATENOLOL" 64
"9" "LASIX" 49
"10" "LABETALOL" 43
"11" "RAMIPRIL" 33
"12" "ATACAND" 32
"13" "ENALPRIL" 32
"14" "HYDROCHLOROTHIAZIDE" 32
"15" "CLONIDINE" 30
"16" "BENAZEPRIL" 29
"17" "ENALAPRIL MALEATE" 23
"18" "FLOMAX" 21
"19" "FUROSEMIDE" 19
"20" "ZESTRIL" 19
"21" "DIOVAN" 18
"22" "CAPTOPRIL" 17
"23" "NIFEDIPINE" 17
"24" "METOPROLOL" 16
"25" "ENELAPRIL" 15
"26" "ALTACE" 14
"27" "AMLODIPINE BESYLATE" 12
"28" "ENALIPRIL" 12
"29" "FOSINOPRIL" 12
"30" "LABETOLOL" 12
"31" "PROPRANOLOL" 12
"32" "AMILORIDE" 11
"33" "CARVEDILOL" 10
"34" "HCTZ" 10
"35" "ISRADIPINE" 10
"36" "CHLOROTHIAZIDE" 9
"37" "HYZAAR" 9
"38" "AMLODOPINE" 8
"39" "LISINPRIL" 8
"40" "NORVASE" 8
"41" "PRINIVIL" 8
"42" "AVAPRO" 7
"43" "BENAZAPRIL" 7
"44" "HYDRALAZINE" 7
"45" "LISINIPRIL" 7
"46" "PROCARDIA XL" 7
"47" "TIAZAC" 7
"48" "GUANFACINE" 6
"49" "LINSINOPRIL" 6
"50" "MINOXIDIL" 6
"51" "NADOLOL" 6
"52" "NIFEDIPINE ER" 6
"53" "VALSARTAN" 6
"54" "ATENALOL" 5
"55" "COZAR" 5
"56" "LOSARTAN POTASSIUM" 5
"57" "PROCARDIA" 5
"58" "AMLODIPIN" 4
"59" "AMOLDIPINE" 4
"60" "BENICAR" 4
"61" "COREG" 4
"62" "DOXAZOSIN" 4
"63" "ENALOPRIL" 4
"64" "HYDROCHLORTHIAZIDE" 4
"65" "LABETALOL HCL" 4
"66" "LISONOPRIL" 4
"67" "NIFEDICAL XL" 4
"68" "NIFEDIPINE XL" 4
"69" "TELMISARTAN" 4
"70" "AMOLODIPINE" 3
"71" "CARDURA" 3
"72" "CHLOROTHIAZ" 3
"73" "DIORAN" 3
"74" "DIURIL" 3
"75" "HYDROCHLORATHIAZIDE" 3
"76" "HYDROCHLOROTHIATIDE" 3
"77" "HYDROXYZINE" 3
"78" "LABETELOL" 3
"79" "LASIK" 3
"80" "LISINAPRIL" 3
"81" "LISNOPRIL" 3
"82" "LOSARTAIN" 3
"83" "LOSARTIN" 3
"84" "MICARDIS" 3
"85" "MONOPRIL" 3
"86" "NIFEDICAL" 3
"87" "NORUASC" 3
"88" "NORVASC (AMLODIPINE)" 3
"89" "PROPANOLOL" 3
"90" "QUINAPRIL" 3
"91" "RAMAPRIL" 3
"92" "RAMPRIL" 3
"93" "TERAZASIN" 3
"94" "TERAZOSIN" 3
"95" "USINOPRIL" 3
"96" "ADALAT XC" 2
"97" "ADALAT XL" 2
"98" "AMIODIPINE" 2
"99" "AMLODIPINE NORVASC" 2
"100" "CABETALOL" 2
"101" "CARDIZEM" 2
"102" "CATAPRES" 2
"103" "CHLORTHALIDONE" 2
"104" "CLONIDINE TRANSDERMAL PATCH" 2
"105" "CLORIDINE" 2
"106" "DILTIAZEM" 2
"107" "ENALAPRIL (VASOTEC)" 2
"108" "ENALAPRIL 5 MG" 2
"109" "ENALAPRIL/HCTZ" 2
"110" "ENALAPRILMALEATE" 2
"111" "FELODIPINE" 2
"112" "FUROSENIDE" 2
"113" "HCT2" 2
"114" "HESINOPRIL" 2
"115" "HYDROCHLAROTHIAZIDE" 2
"116" "IRBESARTAN" 2
"117" "LABETULOL" 2
"118" "LAXIS" 2
"119" "LESARTAN" 2
"120" "LIAINOPRIL" 2
"121" "LISINEPRIL" 2
"122" "LOGARTIN" 2
"123" "LOSANTAN" 2
"124" "LOSARTAN (COZAAR)" 2
"125" "LOSATAN" 2
"126" "LOTENSIN" 2
"127" "LOTREL" 2
"128" "NARVASC" 2
"129" "NORVASAC" 2
"130" "TAMSULOSIN" 2
"131" "TAMSULOSIN HCL" 2
"132" "TOPROL" 2
"133" "TOPROL XL" 2
"134" "VERAPAMIL" 2
"135" "ZAROXOLYN" 2
"136" "ZESTERIL" 2
"137" "ACCUPRIL" 1
"138" "ACTALAT" 1
"139" "ADALAT" 1
"140" "ADALERT" 1
"141" "AENOLOL (TENORNIN)" 1
"142" "ALACAND" 1
"143" "ALDACTONE" 1
"144" "ALSMODIPINE" 1
"145" "ALTACE (RAMAPRIL)" 1
"146" "ALTACE 2.5" 1
"147" "ALTACO" 1
"148" "ALTASE/RAMIPRIL" 1
"149" "ALTAU RAMIPRIL" 1
"150" "ALTAXE/RAMIPRIL" 1
"151" "ALTENOLOL" 1
"152" "AMBDIPINE" 1
"153" "AMCOLIPINE" 1
"154" "AMESDIPINE" 1
"155" "AMILIRIDE HCTZ" 1
"156" "AMILOCIDE" 1
"157" "AMILODIPINE 10 MG" 1
"158" "AMILOLIDE" 1
"159" "AMILORIDE 10 MG" 1
"160" "AMILORIDE BESYLATE" 1
"161" "AMILORIDE HCT25?50" 1
"162" "AMILORIDE HCTZ" 1
"163" "AMILORIDE HYDROCHOTHIAZIDE" 1
"164" "AMILORIDE_2" 1
"165" "AMILORIDE-HYDROCHLORO" 1
"166" "AMLOAIPINE" 1
"167" "AMLOCOLPINE" 1
"168" "AMLODAPINE" 1
"169" "AMLODIINE" 1
"170" "AMLODINE" 1
"171" "AMLODINPINE NORVAC" 1
"172" "AMLODIOINE BESYLATE (SUB-4-NORVASE)" 1
"173" "AMLODIPANE" 1
"174" "AMLODIPENE" 1
"175" "AMLODIPIAL" 1
"176" "AMLODIPIL" 1
"177" "AMLODIPIN (NORVASC)" 1
"178" "AMLODIPINE  1MG/ML" 1
"179" "AMLODIPINE (BESYLATE)" 1
"180" "AMLODIPINE (NORVASC)" 1
