VISIT,age_mean,MALE1FE0_mean,Upc_mean,gfr_mean,BMIPCTAG_mean,n_agents_mean,CKDONST_mean,GHTOTINC_mean,LVMIp_mean,age_sd,MALE1FE0_sd,Upc_sd,gfr_sd,BMIPCTAG_sd,n_agents_sd,CKDONST_sd,GHTOTINC_sd,LVMIp_sd
10,11.30784708249497,0.607645875251509,0.8339117346401737,50.90847550816076,62.65797131147541,0.8729508196721312,-8.761208163265307,2,NaN,4.020085508132647,0.48876685201960496,1.5713969031804917,21.053432523130915,30.371013215233933,0.8454770967863596,4.814186180689973,NA,NaN
20,12.378140845070423,0.607645875251509,0.8195124870651673,50.192098283745366,59.28505030181086,0.8911290322580645,-8.761208163265307,5.670020120724346,55.9304932735426,4.024211207055819,0.48876685201960496,1.2231893934007128,22.48225038230088,30.976825788562717,0.7838276554307402,4.814186180689973,3.341419952352808,31.30096187241145
30,13.223389423076924,0.6094117647058823,0.8428166305060389,37.289530812745085,59.248429951690824,0.8886255924170616,-8.909947494033412,4,95,4.002881289654814,0.4884572192627974,1.4629787431578505,29.115268545279125,30.44463451336648,0.8296257388798152,4.768548511980571,8,NA
40,13.860529801324503,0.5789473684210527,0.9705565956675949,44.28866916858512,56.03858585858586,0.9,-8.850722397476341,5.584158415841584,59.82692307692308,4.002730599220923,0.494494038754939,1.351186737421157,20.431367511694535,32.16666985164612,0.8688261817931587,4.650896322886298,3.8805014185784743,29.363729599262648
50,14.27955909090909,0.568,0.9242751815895189,41.079308266869376,57.65424390243903,0.8064516129032258,-8.611720647773279,4.25,50,4.030539061260441,0.496348109478753,1.3131799104126616,18.86873582079918,32.08428677532658,0.8361994159506766,4.440058040767592,3.3273756282434617,NA
60,15.004675675675676,0.5765765765765766,1.0899854169797725,41.44730930897548,56.51521472392638,0.7330316742081447,-8.520415525114155,5.789189189189189,47.15686274509804,4.058590223312005,0.4952178468401066,2.866907276160488,17.412759906188796,32.29203674984917,0.8771049195514057,4.321951956219314,3.1353336782223886,32.070874975151924
70,15.823096551724138,0.5806451612903226,0.9245998003851693,39.21842348409578,60.48870967741936,0.6989247311827957,-8.513010928961748,NaN,NaN,4.055792725165072,0.49478536204093,1.0385796189020282,18.34817138959769,31.150596308161617,0.7889088768201316,4.316358021678517,NaN,NaN
80,16.11908510638298,0.5555555555555556,0.8325304181975222,40.88038284807838,56.8972,0.6587301587301587,-8.05416935483871,5.861702127659575,46.02564102564103,4.0842355799156485,0.49888765156985937,1.0398708671600108,17.530024257879035,32.93362458856512,0.7393261625312427,4.193616297900011,3.133588632346246,27.73200802437987
90,16.25522857142857,0.5416666666666666,0.8937292457994593,42.30687808697619,54.716,0.6666666666666666,-7.501085106382979,NaN,25,3.7782232681335217,0.5035336128708592,0.8402039619568314,15.655914539988919,31.890551254413037,0.80776374609383494,4.068841346826258,NaN,NA
100,14.573,0.6,0.45827048768225237,52.8471899556286,65.98666666666666,0.1,-6.1171,8,25,4.147961306473339,0.5163977794943223,0.3345683370109552,29.256632060085643,24.369756530038075,0.31622776601683794,2.920666265312306,0,NA
110,NaN,1,NaN,NaN,NaN,0,-6.108,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
