"" "10" "20" "30" "40" "50" "60" "70" "80" "90" "100" "Sum"
"ENALAPRIL" 120 115 92 72 47 34 26 15 6 1 528
"LISINOPRIL" 107 114 94 71 54 43 41 32 9 0 565
"AMLODIPINE" 44 48 44 34 26 21 17 14 5 0 253
"LOSARTAN" 40 28 27 25 20 14 9 2 3 0 168
"HYDROCHLOROTHIAZIDE" 15 14 12 11 4 3 2 3 1 0 65
"NIFEDIPINE" 10 9 6 5 3 3 4 1 0 0 41
"FUROSEMIDE" 7 9 7 7 3 1 2 0 0 0 36
"LABETALOL" 7 8 11 6 3 5 3 0 1 0 44
"ATENOLOL" 6 7 8 6 6 3 2 1 2 0 41
"RAMIPRIL" 6 7 6 6 5 5 2 1 0 0 38
"CAPTOPRIL" 5 1 1 1 1 1 1 1 1 0 13
"BENAZEPRIL" 4 6 4 4 4 2 2 1 0 0 27
"TAMSULOSIN" 4 4 4 3 2 1 1 0 1 0 20
"VALSARTAN" 4 5 5 3 2 1 1 2 0 0 23
"AMILORIDE" 3 2 3 0 1 0 0 0 0 0 9
"CANDESARTAN" 3 4 7 5 2 4 2 0 0 0 27
"CHLOROTHIAZIDE" 3 2 3 2 2 2 1 1 1 0 17
"CLONIDINE" 3 6 3 2 1 2 2 0 0 0 19
"FOSINOPRIL" 3 4 2 0 1 1 0 0 0 0 11
"METOPROLOL" 3 3 3 4 3 2 3 1 1 0 23
"PROPRANOLOL" 3 3 3 1 1 1 0 0 0 0 12
"CARVEDILOL" 2 1 1 1 1 2 2 1 0 0 11
"TELMISARTAN" 2 2 2 1 1 1 1 1 0 0 11
"BISOPROLOL" 1 0 0 0 0 0 0 0 0 0 1
"DILTIAZEM" 1 2 3 2 1 1 1 2 0 0 13
"DOXAZOSIN" 1 2 2 1 0 0 0 0 0 0 6
"FELODIPINE" 1 1 1 0 0 0 0 0 0 0 3
"GUANFACINE" 1 2 1 1 0 0 0 0 0 0 5
"HYDRALAZINE" 1 2 0 1 0 0 0 0 0 0 4
"ISRADIPINE" 1 1 1 0 0 0 0 0 0 0 3
"MINOXIDIL" 1 0 1 1 0 0 0 0 0 0 3
"NADOLOL" 1 2 1 0 0 0 0 0 0 0 4
"QUINAPRIL" 1 0 1 0 0 0 0 0 0 0 2
"TERAZOSIN" 1 1 1 1 1 1 1 0 0 0 7
"VERAPAMIL" 1 1 0 1 0 0 0 0 0 0 3
"CHLORTHALIDONE" 0 0 1 1 0 0 0 0 0 0 2
"IRBESARTAN" 0 1 0 1 1 1 1 1 1 0 7
"OLMESARTAN" 0 1 0 0 1 1 0 0 0 0 3
"NA" 0 0 0 0 0 0 0 0 0 0 0
"Sum" 416 418 361 280 197 156 127 80 32 1 2068
